Ax,Ay,Az,Gx,Gy,Gz
1.0305,-0.2942,-0.0103,2.6947,-0.2443,-7.8855
1.0234,-0.2878,-0.0095,2.6183,-0.313,-7.7252
1.0339,-0.291,-0.0161,2.7328,-0.7557,-6.9389
1.0354,-0.2957,-0.0137,2.6794,-0.4733,-7.374
1.0254,-0.2834,-0.0122,2.6031,-0.3969,-7.0458
1.0342,-0.291,-0.0146,2.5038,-0.4809,-7.1298
1.0327,-0.2944,-0.0171,2.626,-0.542,-7.3282
1.0251,-0.2788,-0.0039,2.6489,-0.5267,-7.4504
1.0286,-0.2903,-0.012,2.6183,-0.313,-7.0611
1.0317,-0.2883,-0.0127,2.4885,-0.3282,-6.7863
1.0298,-0.2864,-0.0159,2.6183,-0.3359,-7.9313
1.0305,-0.2874,-0.0142,2.5267,-0.3053,-7.7099
1.0327,-0.2898,-0.0105,2.542,-0.7252,-7.4427
1.0339,-0.2915,-0.0142,2.6489,-0.4504,-8.1527
1.0339,-0.2896,-0.0085,2.771,-0.6031,-8.2672
1.0276,-0.293,-0.0093,2.542,-0.6794,-7.313
1.0339,-0.2952,-0.0125,2.6336,-0.7023,-7.0916
1.0283,-0.2891,-0.0056,2.5878,-0.313,-7.3282
1.0298,-0.2844,-0.0015,2.4962,-0.5191,-7.0687
1.033,-0.2935,-0.0056,2.3511,-0.5496,-7.0229
1.0325,-0.2842,-0.0076,2.6336,0.0,-7.6183
1.0249,-0.2834,-0.0083,2.5267,-0.5344,-7.4809
1.031,-0.2849,-0.0059,2.4504,-0.4427,-7.0611
1.031,-0.2874,-0.0122,2.626,-0.4122,-7.7557
1.03,-0.2915,-0.0127,2.5496,-0.1527,-7.626
1.0356,-0.2993,-0.0059,2.6031,-0.0992,-7.542
1.0393,-0.2917,-0.009,2.6947,-0.458,-6.9237
1.031,-0.2893,-0.0085,2.5344,-0.3588,-7.771
1.0278,-0.29,-0.0081,2.4885,-0.3664,-6.9695
1.0327,-0.2974,-0.0042,2.6031,-0.5649,-6.8931
1.031,-0.2947,-0.0117,2.5649,-0.5802,-7.2137
1.0242,-0.2871,-0.0024,2.4885,-0.4504,-7.2214
1.0325,-0.2893,-0.0083,2.5038,-0.4351,-6.4885
1.0269,-0.2852,-0.0049,2.5573,-0.5649,-7.0687
1.0264,-0.2869,-0.0002,2.5802,-0.3282,-7.3664
1.0259,-0.2859,-0.012,2.626,-0.2519,-7.4504
1.0391,-0.2905,-0.0098,2.7634,-0.3664,-7.8397
1.0291,-0.2888,-0.0146,2.6489,-0.2748,-8.0076
1.0254,-0.2825,-0.0088,2.5573,-0.2901,-7.3282
1.0374,-0.2922,-0.0068,2.6489,-0.7481,-7.0916
1.0271,-0.2927,-0.0039,2.6565,-0.6947,-7.6794
1.0266,-0.2883,-0.0083,2.6947,-0.3053,-7.9389
1.0339,-0.2881,-0.0164,2.5725,-0.6412,-6.8321
1.0325,-0.2935,-0.0095,2.5344,-0.7176,-7.1756
1.0376,-0.2891,-0.0073,2.4885,-0.374,-7.7176
1.0278,-0.2944,-0.0171,2.6336,-0.5115,-7.4809
1.0303,-0.291,-0.0073,2.4962,-0.5954,-6.5725
1.0308,-0.29,-0.0024,2.5573,-0.1679,-7.7863
1.0305,-0.2866,-0.0178,2.5191,-0.3664,-7.3053
1.0303,-0.2937,-0.0088,2.5725,-0.2672,-7.2824
1.0361,-0.29,-0.0076,2.6794,-0.3511,-7.6794
1.0298,-0.2856,-0.0034,2.6031,-0.1374,-7.8855
1.0359,-0.2866,-0.0059,2.6947,-0.6183,-6.8168
1.0364,-0.2881,0.0039,2.5649,-0.4656,-7.374
1.0398,-0.2876,-0.019,2.626,-0.5649,-7.687
1.03,-0.2864,-0.0005,2.6031,-0.2748,-6.9237
1.0342,-0.2888,-0.0168,2.6718,-0.7176,-6.7786
1.031,-0.2898,-0.0103,2.5267,-0.6565,-7.2061
1.0269,-0.2864,-0.0061,2.4122,-0.6031,-7.5649
1.03,-0.2874,-0.0093,2.5267,-0.5496,-6.9313
1.0283,-0.2905,-0.0049,2.6183,-0.313,-7.7099
1.0295,-0.2803,-0.0061,2.5496,-0.4504,-7.8244
1.0273,-0.2937,-0.0046,2.6718,-0.5802,-7.1603
1.0325,-0.2964,-0.0059,2.7099,-0.5725,-7.4122
1.0359,-0.2883,-0.009,2.4198,-0.2824,-7.8092
1.032,-0.2917,-0.001,2.4656,-0.2519,-7.7634
1.0354,-0.2966,-0.0173,2.5191,-0.5802,-6.9847
1.033,-0.2942,-0.0132,2.6718,-0.5802,-7.5267
1.0266,-0.2876,-0.0071,2.5573,-0.6336,-7.0611
1.03,-0.2961,-0.0122,2.4198,-0.626,-6.8626
1.031,-0.2896,-0.0107,2.687,-0.5954,-7.0687
1.0256,-0.2876,-0.0095,2.5038,-0.4122,-7.5725
1.0217,-0.291,-0.0049,2.4885,-0.374,-7.2519
1.0308,-0.2871,-0.0188,2.626,-0.5954,-6.8321
1.032,-0.2844,-0.0098,2.626,-0.2061,-7.916
1.0278,-0.2861,-0.0122,2.5954,-0.3969,-7.4809
1.0325,-0.2964,-0.0088,2.6641,-0.626,-7.3053
1.0303,-0.2864,-0.0051,2.5267,-0.4275,-7.8779
1.0383,-0.2893,-0.0012,2.5725,-0.2748,-7.8473
1.0308,-0.291,-0.0039,2.6107,-0.8015,-6.9924
1.0371,-0.293,-0.0193,2.542,-0.7328,-7.7328
1.0305,-0.2817,-0.0085,2.5954,-0.6794,-7.7405
1.0288,-0.2861,-0.0061,2.5115,-0.3206,-7.1145
1.0288,-0.2893,-0.0142,2.5649,-0.4427,-6.4656
1.0249,-0.2847,-0.0095,2.6183,-0.2748,-7.9084
1.0317,-0.2856,-0.0002,2.4809,-0.2901,-7.4733
1.031,-0.2886,-0.009,2.5649,-0.5191,-6.8931
1.0366,-0.2932,-0.0078,2.5573,-0.3053,-7.9466
1.0286,-0.2817,-0.0134,2.5954,-0.2977,-7.8397
1.0332,-0.2896,-0.0156,2.6031,-0.3511,-7.3206
1.0352,-0.2927,-0.0142,2.6183,-0.5725,-7.6794
1.0339,-0.2893,-0.0117,2.5573,-0.3359,-7.687
1.0317,-0.29,-0.0049,2.5573,-0.5725,-6.855
1.0317,-0.2954,-0.0168,2.5573,-0.6565,-7.2824
1.0337,-0.2905,-0.0137,2.6794,-0.5802,-7.4122
1.0271,-0.29,-0.0146,2.4198,-0.4885,-7.2214
1.0342,-0.2886,-0.0127,2.6107,-0.6412,-6.6107
1.0273,-0.2922,-0.012,2.5954,-0.6641,-6.3817
1.0354,-0.2847,-0.0039,2.5878,-0.4351,-7.3893
1.0288,-0.2881,-0.0012,2.4885,-0.3359,-7.0458
1.033,-0.2878,-0.0161,2.5649,-1.0305,-6.9008
1.0286,-0.292,-0.0054,2.5725,-0.7786,-6.0305
1.0283,-0.2915,-0.0061,2.7099,-0.6412,-7.855
1.0256,-0.2878,-0.0156,2.6107,-0.4122,-7.1221
1.0315,-0.2915,-0.0156,2.7405,-0.6565,-7.2748
1.0386,-0.2903,-0.0029,2.9466,-0.2977,-5.1603
1.0305,-0.302,-0.0034,1.9237,-1.9618,-7.916
1.0146,-0.29,-0.0095,1.7252,-1.5573,0.0611
1.0374,-0.304,-0.0132,3.3206,1.1527,-10.4656
1.0281,-0.2954,-0.0181,2.458,-0.2366,-7.687
1.02,-0.2886,-0.0054,2.145,-0.5115,-5.2519
1.0393,-0.2954,-0.0107,2.7481,-0.2519,-8.374
1.0222,-0.2961,-0.0195,2.2443,-0.626,-6.9542
1.0398,-0.293,-0.0146,2.2977,-0.1527,-5.9237
1.0334,-0.2954,-0.0078,2.7023,-0.7099,-7.1298
1.0261,-0.2942,-0.0063,2.6336,-0.3206,-6.2977
1.0339,-0.2896,-0.012,2.6031,-0.7405,-7.1374
1.0352,-0.2993,-0.0125,2.4962,-0.9237,-6.5496
1.0352,-0.2939,-0.0042,2.6794,-0.9847,-7.4504
1.0288,-0.2878,-0.0083,2.3435,-0.3588,-7.374
1.0295,-0.2908,-0.0037,2.5496,-0.4656,-7.5191
1.0347,-0.2913,-0.0059,2.6031,-0.8321,-6.8626
1.0271,-0.2832,-0.0063,2.4885,-0.0153,-7.5649
1.0366,-0.2822,-0.0078,2.3511,-0.1603,-7.3511
1.0371,-0.2981,-0.0134,2.687,-0.6947,-6.7786
1.0286,-0.2822,-0.0098,2.4656,0.0534,-7.5038
1.0303,-0.2861,-0.0012,2.5573,-0.0916,-8.5115
1.033,-0.2971,-0.0161,2.5954,-0.8626,-6.1145
1.0352,-0.2898,-0.0142,2.687,-0.5344,-7.7863
1.0239,-0.2869,-0.0127,2.6107,-0.2137,-7.8779
1.031,-0.2844,-0.0088,2.6489,-1.0229,-6.7405
1.0339,-0.2903,-0.0154,2.8244,-0.7939,-7.1527
1.0334,-0.2834,-0.0083,2.4427,-0.2214,-7.8779
1.0317,-0.2822,-0.0122,2.3435,-0.4275,-7.3206
1.032,-0.2932,-0.0127,2.7328,-0.8397,-7.1985
1.0225,-0.293,0.0012,2.4885,-0.0687,-7.229
1.0244,-0.2842,-0.0059,2.3817,-0.084,-7.9237
1.0317,-0.2913,-0.0098,2.5878,-0.3282,-7.2137
1.0283,-0.292,-0.0134,2.6412,-0.3969,-7.855
1.012,-0.2798,-0.1206,-4.6107,-17.4504,-23.7328
1.1113,-0.2402,0.0359,-7.0458,6.0763,40.687
1.0408,-0.3401,-0.0232,4.4504,5.6947,-14.2214
1.2102,-0.3391,-0.1562,-3.7405,-2.0687,-51.9618
1.0984,-0.2781,-0.0332,7.5267,8.916,24.9008
1.1304,-0.4036,-0.0293,4.8397,-1.9084,20.5496
0.8533,-0.2568,0.0479,-1.3969,10.3511,20.2672
1.0417,-0.4126,-0.0879,-3.313,16.542,52.8473
1.0505,-0.3923,-0.0801,2.2214,-10.4427,-45.5344
1.1296,-0.1484,0.0107,2.4504,3.3053,-60.9084
1.1704,-0.0581,0.0793,-18.9466,53.0687,57.084
1.0068,-0.5691,-0.0742,-10.5191,6.6336,-18.0458
1.043,-0.085,0.0078,3.9389,-13.0229,56.313
1.0452,-0.4282,-0.033,4.0916,2.313,-7.6183
1.0374,-0.3496,-0.0049,2.0229,-4.5115,8.2137
1.0598,-0.3337,0.0598,-3.2824,5.1145,-1.9389
1.3557,-0.3308,-0.0417,-24.7863,31.7328,101.5954
1.0674,-0.7236,-0.0496,-15.2519,46.8092,108.0382
0.7373,-0.3042,0.022,1.0305,46.855,34.5496
1.0847,-0.5923,-0.1382,-1.4198,-4.9466,28.7023
0.9651,-0.3884,-0.1138,4.3817,-5.5802,-1.9313
1.0857,-0.3511,-0.0691,15.5573,-15.5115,18.2137
